"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"entry","004085dd","Thunk Function","Global","Imported","2","0"
"allocs_computes","004085e2","Function","Global","User Defined","1","0"
"FUN_004086b4","004086b4","Function","Global","Default","1","0"
"FUN_0040874c","0040874c","Function","Global","Default","2","0"
"FUN_00408838","00408838","Function","Global","Default","69","0"
"FUN_00408839","00408839","Function","Global","Default","0","0"
"FUN_00408860","00408860","Function","Global","Default","1","0"
"FUN_004088a6","004088a6","Function","Global","Default","2","0"
"FUN_004089ad","004089ad","Function","Global","Default","1","0"
"FUN_00408a76","00408a76","Function","Global","Default","1","0"
"FUN_00408bdc","00408bdc","Function","Global","Default","1","0"
"FUN_00408c4f","00408c4f","Function","Global","Default","1","0"
"FUN_00408d65","00408d65","Function","Global","Default","1","0"
"FUN_00408db0","00408db0","Function","Global","Default","1","0"
"FUN_00409039","00409039","Function","Global","Default","1","0"
"use_thisptr_thunk","004090c7","Thunk Function","Global","User Defined","6","0"
"use_thisptr","004090cc","Function","Global","User Defined","2","0"
"thunk_FUN_004090d9","004090d4","Thunk Function","Global","Default","1","0"
"FUN_004090d9","004090d9","Function","Global","Default","2","0"
"FUN_0040912a","0040912a","Function","Global","Default","1","0"
"FUN_004091ca","004091ca","Function","Global","Default","3","0"
"FUN_00409226","00409226","Function","Global","Default","1","0"
"FUN_00409400","00409400","Function","Global","Default","0","0"
"FUN_0040940b","0040940b","Function","Global","Default","1","0"
"FUN_00409416","00409416","Function","Global","Default","1","0"
"FUN_00409424","00409424","Function","Global","Default","1","0"
"FUN_00409435","00409435","Function","Global","Default","0","0"
"FUN_00409436","00409436","Function","Global","Default","0","0"
"FUN_00409445","00409445","Function","Global","Default","0","0"
"FUN_004094fa","004094fa","Function","Global","Default","0","0"
"FUN_0040950a","0040950a","Function","Global","Default","0","0"
"FUN_00409696","00409696","Function","Global","Default","0","0"
"FUN_00409715","00409715","Function","Global","Default","0","0"
"FUN_00409728","00409728","Function","Global","Default","0","0"
"FUN_00409739","00409739","Function","Global","Default","0","0"
"thunk_FUN_00409b47","00409b42","Thunk Function","Global","Default","4","0"
"FUN_00409b47","00409b47","Function","Global","Default","2","0"
"FUN_00409b58","00409b58","Function","Global","Default","1","0"
"init_this","00409edf","Function","Global","User Defined","1","0"
"FUN_00409f49","00409f49","Function","Global","Default","1","0"
"sound_pushad","0040a260","Function","Global","User Defined","3","0"
"init_sound","0040a281","Function","Global","User Defined","1","0"
"sound_shutdown","0040a38a","Function","Global","User Defined","2","0"
"release","0040a3b4","Function","Global","User Defined","2","0"
"sound_thread_proc","0040a3c1","Function","Global","User Defined","1","0"
"SetThreadPriority","0040a550","Thunk Function","KERNEL32.DLL","Default","1","0"
"DSoundCreate","0040a556","Thunk Function","DSOUND.DLL","Default","1","0"
"Sleep","0040a55c","Thunk Function","KERNEL32.DLL","Default","1","0"
"WaitForSingleObject","0040a562","Thunk Function","KERNEL32.DLL","Default","1","0"
"CreateThread","0040a568","Thunk Function","KERNEL32.DLL","Default","1","0"
"DirectDrawCreate","0040a56e","Thunk Function","DDRAW.DLL","Default","1","0"
"exit_loop","0040c72c","Data Label","Global","User Defined","3","0"
"hwnd","0040c73b","Data Label","Global","User Defined","5","0"
"exit2","0040c73f","Data Label","Global","User Defined","6","0"
"exit1","0040c743","Data Label","Global","User Defined","9","0"
"timer_x1","0040c747","Data Label","Global","User Defined","4","0"
"timer_counnter","0040c74b","Data Label","Global","User Defined","4","0"
"pixelbuf","00433020","Data Label","Global","User Defined","9","0"
"ddraw","00433024","Data Label","Global","User Defined","19","0"
"ddrawsurface","00433028","Data Label","Global","User Defined","10","0"
"wndclass","00433e00","Data Label","Global","User Defined","2","9"
"start_time","00433f7c","Data Label","Global","User Defined","2","0"
"hTimer","00433f80","Data Label","Global","User Defined","2","0"
"elapsed","00433f84","Data Label","Global","User Defined","12","0"
"hinst","00433f88","Data Label","Global","User Defined","2","0"
"thisptr","004377b4","Data Label","Global","User Defined","2","0"
"soundbuf","004377b8","Data Label","Global","User Defined","9","0"
"soundbuf_primary","004377bc","Data Label","Global","User Defined","4","0"
"dsound","004377c0","Data Label","Global","User Defined","4","0"
